,#path, orbit, img_block, line, sample, lat, lon, an, ca, cf, rms,orbit_start,orbit_stop
89,106,86890,14,115,533,80.315557,272.855617,0.609921,0.785213,1.109984,7.00125,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
90,106,86890,14,116,533,80.316106,272.855133,0.611722,0.790616,1.108783,6.934130000000001,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
91,106,86890,14,117,532,80.319396,272.85218399999997,0.611722,0.7900159999999999,1.107583,7.238536999999999,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
92,106,86890,14,118,532,80.322411,272.849391,0.6129220000000001,0.791817,1.108183,6.764375,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
93,106,86890,14,118,531,80.32350699999999,272.84835699999996,0.6135229999999999,0.791817,1.1039809999999999,8.472667,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
94,106,86890,14,119,531,80.325425,272.846533,0.615924,0.79782,1.1009790000000002,8.976538,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
95,106,86890,14,119,530,80.327344,272.84469,0.611722,0.797219,1.101579,8.635789,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
96,106,86890,14,120,530,80.328714,272.843366,0.614123,0.803823,1.097377,8.285946000000001,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
97,106,86890,14,120,529,80.331457,272.84071,0.6129220000000001,0.803823,1.100379,9.0775,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
98,106,86890,14,121,529,80.331731,272.840446,0.6147229999999999,0.800821,1.1009790000000002,8.630682,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
99,106,86890,14,122,529,80.33475,272.83759,0.6147229999999999,0.800821,1.106382,7.9325,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
100,106,86890,14,122,528,80.3353,272.83707999999996,0.615324,0.799621,1.108783,8.188,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
101,106,86890,14,123,528,80.337773,272.834809,0.6147229999999999,0.8032229999999999,1.104581,7.941764999999999,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
