,path,orbit,lat,lon,Ca_r,Cf_r,An_r,rms
5726,152,86922,74.065629,214.650557,0.83406,1.3826200000000002,0.5949,5.28
5727,152,86922,74.065338,214.65211,0.83406,1.3826200000000002,0.5949,5.64
5728,152,86922,74.065048,214.653662,0.82509,1.38561,0.60238,5.36
5729,152,86922,74.06530699999998,214.652279,0.83406,1.3826200000000002,0.5949,5.74
5730,152,86922,74.065399,214.649974,0.83406,1.3826200000000002,0.5949,5.38
5731,152,86922,74.0651,214.651507,0.83406,1.3826200000000002,0.5949,5.6
5732,152,86922,74.064801,214.65304,0.82509,1.38561,0.60238,5.33
5733,152,86922,74.06506,214.651712,0.83406,1.3826200000000002,0.5949,5.69
5734,152,86922,74.065152,214.649363,0.83406,1.3826200000000002,0.5949,5.41
5735,152,86922,74.06486,214.650901,0.83406,1.3826200000000002,0.5949,5.24
5736,152,86922,74.06456899999998,214.65244,0.82509,1.38561,0.60238,5.27
5737,152,86922,74.064825,214.651086,0.83406,1.3826200000000002,0.5949,5.44
5738,152,86922,74.064908,214.64875,0.83406,1.3826200000000002,0.5949,5.36
5739,152,86922,74.064617,214.65029,0.83406,1.3826200000000002,0.5949,5.41
5740,152,86922,74.064326,214.65183,0.82509,1.38561,0.60238,5.13
5741,152,86922,74.064583,214.650473,0.82509,1.38561,0.60238,5.52
5742,152,86922,74.06466800000003,214.648146,0.83406,1.3826200000000002,0.5949,5.28
5743,152,86922,74.064376,214.649683,0.82509,1.38561,0.60238,5.6
5744,152,86922,74.064084,214.65122,0.82509,1.38561,0.60238,5.0
5745,152,86922,74.064341,214.649871,0.82509,1.38561,0.60238,5.6
5746,152,86922,74.064423,214.647532,0.8280799999999999,1.38113,0.60387,5.33
5747,152,86922,74.064132,214.64907,0.82509,1.38561,0.60238,5.83
5748,152,86922,74.063841,214.650608,0.82509,1.38561,0.60238,5.18
5749,152,86922,74.064097,214.649254,0.82509,1.38561,0.60238,5.83
5750,152,86922,74.064183,214.646922,0.8280799999999999,1.38113,0.60387,5.25
5751,152,86922,74.06389300000002,214.648465,0.8280799999999999,1.39159,0.60238,5.79
5752,152,86922,74.063603,214.650008,0.82509,1.38561,0.60238,5.14
5753,152,86922,74.063859,214.648646,0.8280799999999999,1.39159,0.60238,5.81
5754,152,86922,74.06394399999998,214.646319,0.8280799999999999,1.38113,0.60387,5.05
5755,152,86922,74.063652,214.64786,0.8280799999999999,1.39159,0.60238,5.75
5756,152,86922,74.063361,214.6494,0.8280799999999999,1.39159,0.60238,5.33
5757,152,86922,74.06361700000002,214.648047,0.8280799999999999,1.39159,0.60238,5.77
5758,152,86922,74.063701,214.645706,0.8280799999999999,1.39159,0.60238,5.16
5759,152,86922,74.063409,214.647246,0.8280799999999999,1.39159,0.60238,5.54
5760,152,86922,74.063117,214.648785,0.8280799999999999,1.39159,0.60238,5.53
5761,152,86922,74.063373,214.647437,0.8280799999999999,1.39159,0.60238,5.65
5762,152,86922,74.063458,214.645091,0.8280799999999999,1.39159,0.60238,5.02
5763,152,86922,74.06316600000002,214.646631,0.8280799999999999,1.39159,0.60238,5.28
5764,152,86922,74.062874,214.648172,0.8280799999999999,1.39159,0.60238,5.39
5765,152,86922,74.063129,214.646825,0.8280799999999999,1.39159,0.60238,5.38
5766,152,86922,74.063215,214.644478,0.8280799999999999,1.39159,0.60238,5.02
5767,152,86922,74.062923,214.646017,0.8280799999999999,1.39159,0.60238,5.33
5768,152,86922,74.06263100000002,214.647556,0.8280799999999999,1.39159,0.60238,5.48
5769,152,86922,74.06288599999998,214.646213,0.8280799999999999,1.39159,0.60238,5.47
5770,152,86922,74.062974,214.643872,0.8280799999999999,1.39159,0.60238,5.04
5771,152,86922,74.06268299999998,214.64541,0.8280799999999999,1.39159,0.60238,5.61
5772,152,86922,74.062391,214.646948,0.8280799999999999,1.39159,0.60238,5.13
5773,152,86922,74.06264499999997,214.645608,0.8280799999999999,1.39159,0.60238,5.59
5774,152,86922,74.062732,214.643261,0.8280799999999999,1.39159,0.60238,5.01
5775,152,86922,74.062441,214.644802,0.8280799999999999,1.39159,0.60238,5.75
5776,152,86922,74.062151,214.646342,0.8280799999999999,1.39159,0.60238,5.03
5777,152,86922,74.062405,214.644996,0.8280799999999999,1.39159,0.60238,5.74
5778,152,86922,74.06249100000002,214.642652,0.8280799999999999,1.39159,0.60238,5.3
5779,152,86922,74.062202,214.644198,0.8280799999999999,1.39159,0.60238,5.8
5780,152,86922,74.061912,214.645745,0.8280799999999999,1.39159,0.60238,5.19
5781,152,86922,74.062166,214.644386,0.8280799999999999,1.39159,0.60238,5.79
5782,152,86922,74.06225,214.642044,0.8310700000000001,1.38113,0.59939,5.3
5783,152,86922,74.06196,214.643592,0.8280799999999999,1.39159,0.60238,5.64
5784,152,86922,74.06167099999998,214.64514,0.8280799999999999,1.39159,0.60238,5.15
5785,152,86922,74.061925,214.64378,0.8280799999999999,1.39159,0.60238,5.61
5786,152,86922,74.06200600000003,214.641443,0.8310700000000001,1.38113,0.59939,5.27
5787,152,86922,74.061716,214.642982,0.8310700000000001,1.38113,0.59939,5.47
5788,152,86922,74.061427,214.644521,0.8280799999999999,1.39159,0.60238,5.42
5789,152,86922,74.06168000000002,214.643173,0.8310700000000001,1.38113,0.59939,5.56
5790,152,86922,74.061766,214.640834,0.8310700000000001,1.38113,0.59939,5.26
5791,152,86922,74.06147299999998,214.642371,0.8310700000000001,1.38113,0.59939,5.4
5792,152,86922,74.061181,214.643908,0.8310700000000001,1.38113,0.59939,5.47
5793,152,86922,74.061435,214.64257,0.8310700000000001,1.38113,0.59939,5.43
5794,152,86922,74.061522,214.640224,0.8310700000000001,1.38113,0.59939,5.19
5795,152,86922,74.061229,214.641759,0.8310700000000001,1.38113,0.59939,5.38
5796,152,86922,74.060935,214.643294,0.8310700000000001,1.38113,0.59939,5.28
5797,152,86922,74.06119,214.64196,0.8310700000000001,1.38113,0.59939,5.51
5798,152,86922,74.06128000000002,214.63962,0.8310700000000001,1.38113,0.59939,5.31
5799,152,86922,74.060988,214.641154,0.8310700000000001,1.38113,0.59939,5.51
5800,152,86922,74.06069699999998,214.642688,0.8310700000000001,1.38113,0.59939,5.24
5801,152,86922,74.060951,214.641352,0.8310700000000001,1.38113,0.59939,5.64
5802,152,86922,74.06103900000002,214.639013,0.8310700000000001,1.38113,0.59939,5.54
