Unnamed: 0,path,orbit,img_block,line,sample,anr,aa,af,ba,bf,ca,cf,da,df,cloud,vis_confirmed,prediction
982,94,88229,29,496,785,0.246398,0.27032,0.269195,0.327311,0.31324,0.29171,0.303952,0.285659,0.342931,44,44.0,
983,94,88229,29,496,784,0.192644,0.196021,0.230216,0.208686,0.253434,0.251042,0.282704,0.250761,0.310988,44,44.0,
984,94,88229,29,495,784,0.157323,0.150287,0.184623,0.15268,0.194755,0.216847,0.254419,0.225853,0.282985,44,44.0,
985,94,88229,29,494,783,0.095829,0.111731,0.087527,0.134386,0.122988,0.145644,0.13509,0.179557,0.195458,44,44.0,
986,94,88229,29,493,783,0.052066,0.075566,0.061494,0.077677,0.080772,0.119329,0.108072,0.166329,0.167877,44,44.0,
987,94,88229,29,493,782,0.091608,0.12144,0.124677,0.099066,0.139593,0.164922,0.19391,0.230075,0.238799,44,44.0,
988,94,88229,29,492,782,0.187719,0.19588,0.23894,0.171114,0.23106,0.244991,0.322246,0.270743,0.316898,44,44.0,
989,94,88229,29,492,781,0.354329,0.347153,0.361365,0.370653,0.394294,0.342509,0.439605,0.360662,0.434539,44,44.0,
990,94,88229,29,491,781,0.381207,0.369527,0.385006,0.406958,0.423704,0.396264,0.466904,0.381488,0.468452,44,44.0,
991,94,88229,29,491,780,0.388243,0.393731,0.422859,0.404707,0.455647,0.428066,0.519392,0.434821,0.537123,44,44.0,
992,94,88229,29,490,780,0.40147,0.412446,0.436509,0.443686,0.449033,0.447204,0.536279,0.445374,0.532761,44,44.0,
996,94,88229,29,487,778,0.169284,0.185749,0.187015,0.238377,0.227683,0.235141,0.236267,0.250479,0.31141,44,44.0,
997,94,88229,29,487,777,0.075707,0.092452,0.089919,0.120033,0.120596,0.128054,0.107228,0.163937,0.17815,44,44.0,
998,94,88229,29,486,777,0.071626,0.085135,0.070078,0.103428,0.102865,0.113841,0.101177,0.167033,0.168581,44,44.0,
999,94,88229,29,486,776,0.049252,0.066138,0.056006,0.076692,0.080069,0.101458,0.102725,0.172662,0.163515,44,44.0,
1000,94,88229,29,485,776,0.08218,0.108494,0.094141,0.105961,0.120314,0.135231,0.156901,0.233593,0.217692,44,44.0,
1001,94,88229,29,485,775,0.154931,0.150569,0.172943,0.161967,0.168722,0.174913,0.222054,0.24471,0.27412,44,44.0,
1002,94,88229,29,484,775,0.288332,0.253153,0.256108,0.266802,0.29959,0.266662,0.328859,0.323934,0.373186,44,44.0,
1010,94,88229,29,480,771,0.255967,0.281437,0.293117,0.271024,0.292132,0.276512,0.341806,0.35053,0.386413,44,44.0,
1011,94,88229,29,479,771,0.47591,0.472392,0.486183,0.452551,0.525725,0.453958,0.550632,0.452551,0.541907,44,44.0,
1012,94,88229,29,478,771,0.492093,0.510105,0.535575,0.51897,0.582434,0.527695,0.61888,0.498988,0.627183,44,44.0,
1013,94,88229,29,478,770,0.470704,0.474362,0.494344,0.500958,0.547818,0.45818,0.547677,0.456491,0.575258,44,44.0,
1014,94,88229,29,477,770,0.449877,0.455365,0.472674,0.479428,0.525443,0.475347,0.55612,0.470985,0.592988,44,44.0,
1015,94,88229,29,477,769,0.38768,0.404144,0.407099,0.419482,0.454943,0.393027,0.462542,0.41709,0.512779,44,44.0,
1016,94,88229,29,476,769,0.397249,0.410898,0.428207,0.42877,0.478162,0.429332,0.512919,0.440027,0.545285,44,44.0,
1017,94,88229,29,476,768,0.38782,0.39359,0.412868,0.420045,0.468171,0.415683,0.496455,0.422297,0.528539,44,44.0,
1018,94,88229,29,475,768,0.376563,0.390072,0.404707,0.412868,0.459306,0.415401,0.498566,0.428629,0.549647,44,44.0,
1019,94,88229,29,475,767,0.337107,0.352751,0.354442,0.374877,0.410391,0.375722,0.420257,0.371635,0.460422,42,44.0,
1020,94,88229,29,474,767,0.253253,0.261427,0.276648,0.317236,0.33598,0.320336,0.340067,0.347959,0.421666,42,44.0,
1021,94,88229,29,473,767,0.200686,0.253958,0.258045,0.314981,0.30427,0.284258,0.292009,0.366421,0.412083,42,44.0,
1022,94,88229,29,473,766,0.074834,0.11655,0.111054,0.153756,0.144595,0.16799,0.169117,0.259454,0.298774,42,44.0,
1023,94,88229,29,472,766,0.22394,0.271997,0.25283,0.289895,0.283131,0.222953,0.268756,0.323437,0.36022,42,44.0,
1024,94,88229,29,472,765,0.093719,0.142481,0.136844,0.167849,0.166862,0.15587,0.168554,0.253535,0.262273,42,44.0,
1025,94,88229,29,471,765,0.324564,0.327524,0.309344,0.340631,0.3512,0.27397,0.312444,0.341476,0.370367,44,44.0,
1026,94,88229,29,471,764,0.220698,0.288909,0.268756,0.275661,0.292432,0.247052,0.312162,0.332597,0.358388,44,44.0,
1027,94,88229,29,470,764,0.41166,0.435477,0.432377,0.438296,0.480011,0.394889,0.484803,0.418988,0.480575,44,44.0,
1028,94,88229,29,470,763,0.492695,0.480293,0.49946,0.492554,0.533283,0.465918,0.540048,0.453516,0.528633,44,44.0,
1029,94,88229,29,469,763,0.446329,0.465073,0.482971,0.492695,0.525673,0.504111,0.565275,0.479448,0.583173,44,44.0,
1030,94,88229,29,469,762,0.413915,0.442665,0.461127,0.476629,0.504674,0.478884,0.533283,0.456053,0.563724,44,44.0,
1031,94,88229,29,468,762,0.388124,0.397708,0.409969,0.422652,0.460704,0.440551,0.501715,0.441396,0.549349,44,44.0,
1032,94,88229,29,467,762,0.344577,0.365153,0.381501,0.392352,0.42984,0.407291,0.476347,0.412505,0.523277,44,44.0,
1033,94,88229,29,467,761,0.338939,0.356979,0.374313,0.383615,0.428853,0.413492,0.471415,0.425471,0.507916,44,44.0,
1034,94,88229,29,466,761,0.344718,0.339644,0.338376,0.343026,0.381501,0.394043,0.435618,0.405036,0.469864,44,44.0,
1035,94,88229,29,466,760,0.409969,0.412364,0.428149,0.409546,0.444215,0.439,0.5237,0.438719,0.549772,44,44.0,
1036,94,88229,29,465,760,0.364448,0.374031,0.399258,0.407714,0.430967,0.435054,0.496641,0.421102,0.514962,44,44.0,
